"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"88","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 34M 56S,"Group2","Day1",18
"89","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 35M 14S,"Group2","Day1",2
"90","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 35M 16S,"Group2","Day1",1
"91","VAST32P","GetDetail","Article 434","7/17/19",11H 35M 17S,"Group2","Day1",12
"92","VAST32P","GetDetail","Article 260","7/17/19",11H 35M 29S,"Group2","Day1",39
"93","VAST32P","GetDetail","Article 72","7/17/19",11H 36M 8S,"Group2","Day1",8
"94","VAST32P","GetDetail","Article 72","7/17/19",11H 36M 16S,"Group2","Day1",46
"95","VAST32P","GetDetail","Article 260","7/17/19",11H 37M 2S,"Group2","Day1",7
"96","VAST32P","GetDetail","Article 72","7/17/19",11H 37M 9S,"Group2","Day1",12
"97","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 1","7/17/19",11H 37M 21S,"Group2","Day1",4
"98","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 37M 25S,"Group2","Day1",2
"99","VAST32P","GetDetail","Article 408","7/17/19",11H 37M 27S,"Group2","Day1",20
"100","VAST32P","GetDetail","Article 81","7/17/19",11H 37M 47S,"Group2","Day1",22
"101","VAST32P","GetDetail","Article 446","7/17/19",11H 38M 9S,"Group2","Day1",30
"102","VAST32P","GetDetail","Article 63","7/17/19",11H 38M 39S,"Group2","Day1",62
"103","VAST32P","GetDetail","Article 258","7/17/19",11H 39M 41S,"Group2","Day1",199
"104","VAST32P","EditNotes","VAST32P_revision_27_July_17_11:43_AM.patch","7/17/19",11H 43M 0S,"Group2","Day1",NA
"105","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 1","7/17/19",11H 45M 21S,"Group2","Day1",4
"106","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 25S,"Group2","Day1",1
"107","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 26S,"Group2","Day1",1
"108","VAST32P","Search","fire alarm from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 27S,"Group2","Day1",14
"109","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 41S,"Group2","Day1",8
"110","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 49S,"Group2","Day1",8
"111","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 0","7/17/19",11H 45M 57S,"Group2","Day1",1
"112","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 1","7/17/19",11H 45M 58S,"Group2","Day1",4
"113","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 2","7/17/19",11H 46M 2S,"Group2","Day1",3
"114","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 3","7/17/19",11H 46M 5S,"Group2","Day1",2
"115","VAST32P","Search"," from 1982-01-01 to 2015-01-01 page 4","7/17/19",11H 46M 7S,"Group2","Day1",2
